Species	RefSeq ID	Name
Escherichia coli	GCF_014162235.1	ASM1416223v1
Escherichia coli	GCF_014295315.1	ASM1429531v1
Listeria monocytogenes	GCF_027503885.1	ASM2750388v1
Bacillus subtilis	GCF_002290305.1	ASM229030v1
Listeria monocytogenes	GCF_001513695.1	ASM151369v1
Bacillus subtilis	GCF_012648205.1	ASM1264820v1
Pseudomonas aeruginosa	GCF_025079255.1	ASM2507925v1
Salmonella enterica	GCF_038396445.1	ASM3839644v1
Escherichia coli	GCF_019585465.2	STEC10
Escherichia coli	GCF_964056585.1	30859_5_62
Escherichia coli	GCF_023658285.1	ASM2365828v1
Pseudomonas aeruginosa	GCF_019857585.1	ASM1985758v1
Staphylococcus aureus	GCF_030435875.1	ASM3043587v1
Escherichia coli	GCF_014169115.1	ASM1416911v1
Staphylococcus aureus	GCF_022405495.1	ASM2240549v1
Escherichia coli	GCF_011045255.1	ASM1104525v1
Escherichia coli	GCF_035621615.1	ASM3562161v1
Pseudomonas aeruginosa	GCF_029961345.1	ASM2996134v1
Salmonella enterica	GCF_003718195.1	ASM371819v1
Salmonella enterica	GCF_003073535.1	ASM307353v1
Escherichia coli	GCF_018415975.1	ASM1841597v1
Pseudomonas aeruginosa	GCF_033335935.1	ASM3333593v1
Staphylococcus aureus	GCF_019603375.1	ASM1960337v1
Staphylococcus aureus	GCF_034043175.1	ASM3404317v1
Escherichia coli	GCF_010365365.1	ASM1036536v1
Escherichia coli	GCF_024585965.1	ASM2458596v1
Staphylococcus aureus	GCF_003425545.1	ASM342554v1
Limosilactobacillus fermentum	GCF_032598845.1	ASM3259884v1
Limosilactobacillus fermentum	GCF_003346795.1	ASM334679v1
Escherichia coli	GCF_014169855.1	ASM1416985v1
Salmonella enterica	GCF_004328825.1	ASM432882v1
Escherichia coli	GCF_017088425.1	ASM1708842v1
Listeria monocytogenes	GCF_021391475.1	ASM2139147v1
Escherichia coli	GCF_016904695.1	ASM1690469v1
Bacillus subtilis	GCF_001565875.1	ASM156587v1
Bacillus subtilis	GCF_029537155.1	ASM2953715v1
Bacillus subtilis	GCF_023521475.1	ASM2352147v1
Staphylococcus aureus	GCF_022406055.1	ASM2240605v1
Escherichia coli	GCF_003399895.2	ASM339989v2
Staphylococcus aureus	GCF_031582925.1	ASM3158292v1
Pseudomonas aeruginosa	GCF_019720855.1	ASM1972085v1
Staphylococcus aureus	GCF_034425135.2	BSN51_Closure
Escherichia coli	GCF_032384295.1	ASM3238429v1
Escherichia coli	GCF_001860505.1	ASM186050v1
Salmonella enterica	GCF_002982095.1	ASM298209v1
Enterococcus faecalis	GCF_019856595.1	ASM1985659v1
Escherichia coli	GCF_038096115.1	ASM3809611v1
Bacillus subtilis	GCF_022453545.1	ASM2245354v1
Escherichia coli	GCF_036496485.1	ASM3649648v1
Escherichia coli	GCF_016806045.1	ASM1680604v1
Escherichia coli	GCF_000014845.1	ASM1484v1
Pseudomonas aeruginosa	GCF_038435155.1	ASM3843515v1
Pseudomonas aeruginosa	GCF_040008295.1	ASM4000829v1
Pseudomonas aeruginosa	GCF_022811065.1	ASM2281106v1
Staphylococcus aureus	GCF_000418345.1	ASM41834v1
Escherichia coli	GCF_012934475.1	ASM1293447v1
Escherichia coli	GCF_016598635.1	ASM1659863v1
Escherichia coli	GCF_022558705.1	ASM2255870v1
Escherichia coli	GCF_001900435.1	ASM190043v1
Staphylococcus aureus	GCF_004772055.1	ASM477205v1
Salmonella enterica	GCF_029591825.1	ASM2959182v1
Salmonella enterica	GCF_006365335.1	ASM636533v1
Escherichia coli	GCF_021089875.1	ASM2108987v1
Enterococcus faecalis	GCF_028335505.1	ASM2833550v1
Escherichia coli	GCF_013317085.1	ASM1331708v1
Salmonella enterica	GCF_025259185.1	ASM2525918v1
Escherichia coli	GCF_030995245.1	ASM3099524v1
Listeria monocytogenes	GCF_002214125.1	ASM221412v1
Escherichia coli	GCF_012044775.1	ASM1204477v1
Staphylococcus aureus	GCF_001018845.2	ASM101884v2
Escherichia coli	GCF_029990455.1	ASM2999045v1
Salmonella enterica	GCF_003324755.1	ASM332475v1
Salmonella enterica	GCF_026873385.1	ASM2687338v1
Staphylococcus aureus	GCF_002850415.1	ASM285041v1
Escherichia coli	GCF_031549445.1	ASM3154944v1
Escherichia coli	GCF_013166895.1	ASM1316689v1
Listeria monocytogenes	GCF_002213925.1	ASM221392v1
Staphylococcus aureus	GCF_025559085.1	ASM2555908v1
Pseudomonas aeruginosa	GCF_029961605.1	ASM2996160v1
Bacillus subtilis	GCF_015535655.1	ASM1553565v1
Staphylococcus aureus	GCF_029204125.1	ASM2920412v1
Pseudomonas aeruginosa	GCF_007833895.1	ASM783389v1
Escherichia coli	GCF_023206595.1	ASM2320659v1
Pseudomonas aeruginosa	GCF_032843885.3	ASM3284388v3
Staphylococcus aureus	GCF_000383005.1	ASM38300v1
Staphylococcus aureus	GCF_005954685.1	ASM595468v1
Pseudomonas aeruginosa	GCF_900636975.1	45813_F01
Escherichia coli	GCF_003813145.1	ASM381314v1
Escherichia coli	GCF_017352055.1	ASM1735205v1
Enterococcus faecalis	GCF_036352215.1	ASM3635221v1
Staphylococcus aureus	GCF_900635335.1	41556_G01
Enterococcus faecalis	GCF_001598635.1	ASM159863v1
Escherichia coli	GCF_006364695.1	ASM636469v1
Escherichia coli	GCF_030708375.1	ASM3070837v1
Bacillus subtilis	GCF_029536775.1	ASM2953677v1
Escherichia coli	GCF_010365525.1	ASM1036552v1
Salmonella enterica	GCF_000612325.1	ASM61232v1
Escherichia coli	GCF_003691425.1	ASM369142v1
Salmonella enterica	GCF_003515965.1	ASM351596v1
Escherichia coli	GCF_021535025.1	ASM2153502v1
Staphylococcus aureus	GCF_034661335.1	ASM3466133v1
Staphylococcus aureus	GCF_025559785.1	ASM2555978v1
Salmonella enterica	GCF_003030265.1	ASM303026v1
Escherichia coli	GCF_038420165.1	ASM3842016v1
Escherichia coli	GCF_022493115.1	ASM2249311v1
Staphylococcus aureus	GCF_009728775.1	ASM972877v1
Escherichia coli	GCF_003410275.1	ASM341027v1
Salmonella enterica	GCF_017094605.1	ASM1709460v1
Escherichia coli	GCF_010365325.1	ASM1036532v1
Salmonella enterica	GCF_037843125.1	ASM3784312v1
Escherichia coli	GCF_022846575.1	ASM2284657v1
Escherichia coli	GCF_001901215.1	ASM190121v1
Salmonella enterica	GCF_028747845.1	ASM2874784v1
Escherichia coli	GCF_003399795.2	ASM339979v2
Escherichia coli	GCF_001936315.1	ASM193631v1
Pseudomonas aeruginosa	GCF_003957825.1	ASM395782v1
Staphylococcus aureus	GCF_037076515.1	ASM3707651v1
Staphylococcus aureus	GCF_900324215.1	3_LA_115
Escherichia coli	GCF_036496865.1	ASM3649686v1
Salmonella enterica	GCF_025311435.1	ASM2531143v1
Escherichia coli	GCF_013167435.1	ASM1316743v1
Escherichia coli	GCF_003203755.1	ASM320375v1
Pseudomonas aeruginosa	GCF_028366415.1	ASM2836641v3
Staphylococcus aureus	GCF_019134615.1	ASM1913461v1
Staphylococcus aureus	GCF_026625385.1	ASM2662538v1
Escherichia coli	GCF_022759865.1	ASM2275986v1
Staphylococcus aureus	GCF_037199565.1	BSN5_Closure
Listeria monocytogenes	GCF_009648695.1	ASM964869v1
Escherichia coli	GCF_014904265.2	ASM1490426v2
Staphylococcus aureus	GCF_002442975.1	ASM244297v1
Staphylococcus aureus	GCF_037199585.2	BSN88_Closure
Salmonella enterica	GCF_022655645.1	ASM2265564v1
Bacillus subtilis	GCF_002216085.1	ASM221608v1
Staphylococcus aureus	GCF_018093105.1	ASM1809310v1
Enterococcus faecalis	GCF_026650885.1	ASM2665088v1
Staphylococcus aureus	GCF_016591995.1	ASM1659199v1
Staphylococcus aureus	GCF_034043415.1	ASM3404341v1
Pseudomonas aeruginosa	GCF_033374175.1	ASM3337417v1
Limosilactobacillus fermentum	GCF_032598825.1	ASM3259882v1
Salmonella enterica	GCF_001975515.1	ASM197551v1
Escherichia coli	GCF_014170675.1	ASM1417067v1
Pseudomonas aeruginosa	GCF_036233575.1	ASM3623357v1
Staphylococcus aureus	GCF_031878535.1	ASM3187853v1
Enterococcus faecalis	GCF_009498175.3	ASM949817v3
Staphylococcus aureus	GCF_000239235.1	ASM23923v1
Escherichia coli	GCF_018884505.1	ASM1888450v1
Bacillus subtilis	GCF_000009045.1	ASM904v1
Escherichia coli	GCF_000974505.1	ASM97450v1
Enterococcus faecalis	GCF_033814155.1	ASM3381415v1
Salmonella enterica	GCF_002762135.3	ASM276213v3
Escherichia coli	GCF_009952125.1	ASM995212v1
Escherichia coli	GCF_015571635.1	ASM1557163v1
Salmonella enterica	GCF_030439685.1	ASM3043968v1
Salmonella enterica	GCF_010919335.1	ASM1091933v1
Pseudomonas aeruginosa	GCF_029961565.1	ASM2996156v1
Staphylococcus aureus	GCF_022405275.1	ASM2240527v1
Listeria monocytogenes	GCF_003722375.1	ASM372237v1
Pseudomonas aeruginosa	GCF_016811975.1	ASM1681197v1
Pseudomonas aeruginosa	GCF_030121995.1	ASM3012199v1
Escherichia coli	GCF_019192625.2	ASM1919262v2
Escherichia coli	GCF_013315695.1	ASM1331569v1
Limosilactobacillus fermentum	GCF_029223965.1	ASM2922396v1
Staphylococcus aureus	GCF_037948675.1	BSN124
Escherichia coli	GCF_016403975.2	ASM1640397v2
Escherichia coli	GCF_003073955.1	ASM307395v1
Pseudomonas aeruginosa	GCF_036418185.1	ASM3641818v1
Salmonella enterica	GCF_003717055.1	ASM371705v1
Bacillus subtilis	GCF_003665395.1	ASM366539v1
Salmonella enterica	GCF_026802055.1	ASM2680205v1
Escherichia coli	GCF_000800765.1	ASM80076v1
Escherichia coli	GCF_037094535.1	ASM3709453v1
Escherichia coli	GCF_002012225.1	ASM201222v1
Salmonella enterica	GCF_001448705.2	ASM144870v2
Bacillus subtilis	GCF_003148355.1	ASM314835v2
Pseudomonas aeruginosa	GCF_022870525.1	ASM2287052v1
Escherichia coli	GCF_001618365.1	ASM161836v1
Salmonella enterica	GCF_028893295.1	ASM2889329v1
Escherichia coli	GCF_039912505.1	ASM3991250v1
Staphylococcus aureus	GCF_900092595.1	Sa_Newman_UoM
Staphylococcus aureus	GCF_036961545.2	BSN65_Closure
Staphylococcus aureus	GCF_030409015.1	ASM3040901v1
Escherichia coli	GCF_020971745.1	ASM2097174v1
Staphylococcus aureus	GCF_026625405.1	ASM2662540v1
Escherichia coli	GCF_031659955.1	ASM3165995v1
Staphylococcus aureus	GCF_038096245.1	BSN151
Staphylococcus aureus	GCF_003347055.1	ASM334705v1
Enterococcus faecalis	GCF_023746575.1	ASM2374657v1
Bacillus subtilis	GCF_905315715.2	NRS6160B
Pseudomonas aeruginosa	GCF_037287465.1	ASM3728746v1
Staphylococcus aureus	GCF_022691365.1	ASM2269136v1
Escherichia coli	GCF_017639145.1	ASM1763914v1
Escherichia coli	GCF_030013165.1	ASM3001316v1
Salmonella enterica	GCF_011466455.1	ASM1146645v1
Salmonella enterica	GCF_009017295.1	ASM901729v1
Escherichia coli	GCF_017901015.1	ASM1790101v1
Escherichia coli	GCF_040529125.1	ASM4052912v1
Escherichia coli	GCF_964049185.1	30859_5_32
Escherichia coli	GCF_002741595.1	ASM274159v1
Escherichia coli	GCF_003018715.1	ASM301871v1
Escherichia coli	GCF_013167295.1	ASM1316729v1
Staphylococcus aureus	GCF_030534255.1	ASM3053425v1
Escherichia coli	GCF_036923335.1	STEC26
Staphylococcus aureus	GCF_007726465.1	ASM772646v1
Escherichia coli	GCF_023206635.1	ASM2320663v1
Escherichia coli	GCF_001753445.1	ASM175344v1
Escherichia coli	GCF_031663975.1	ASM3166397v1
Escherichia coli	GCF_033401435.1	ASM3340143v1
Escherichia coli	GCF_036287645.1	ASM3628764v1
Staphylococcus aureus	GCF_001515745.1	ASM151574v1
Salmonella enterica	GCF_037782195.1	ASM3778219v1
Staphylococcus aureus	GCF_015244035.1	ASM1524403v1
Escherichia coli	GCF_029987955.1	ASM2998795v1
Enterococcus faecalis	GCF_902379005.2	UHGG_MGYG-HGUT-01694
Escherichia coli	GCF_004564175.1	ASM456417v1
Pseudomonas aeruginosa	GCF_039908075.1	UNIFI_Paer_26323
Salmonella enterica	GCF_023518135.1	ASM2351813v1
Escherichia coli	GCF_026001125.1	ASM2600112v1
Escherichia coli	GCF_022569415.1	ASM2256941v1
Salmonella enterica	GCF_019670425.1	ASM1967042v1
Salmonella enterica	GCF_025399075.1	ASM2539907v1
Pseudomonas aeruginosa	GCF_029962185.1	ASM2996218v1
Escherichia coli	GCF_001513635.1	ASM151363v1
Staphylococcus aureus	GCF_030534235.1	ASM3053423v1
Staphylococcus aureus	GCF_002204575.1	ASM220457v1
Pseudomonas aeruginosa	GCF_030369855.1	ASM3036985v1
Staphylococcus aureus	GCF_003426145.1	ASM342614v1
Escherichia coli	GCF_031663095.1	ASM3166309v1
Pseudomonas aeruginosa	GCF_023101285.1	ASM2310128v1
Escherichia coli	GCF_003018475.1	ASM301847v1
Escherichia coli	GCF_000013265.1	ASM1326v1
Salmonella enterica	GCF_031188765.1	ASM3118876v1
Escherichia coli	GCF_016776165.1	ASM1677616v1
Pseudomonas aeruginosa	GCF_039924275.1	ASM3992427v1
Escherichia coli	GCF_016775845.1	ASM1677584v1
Salmonella enterica	GCF_019670265.1	ASM1967026v1
Escherichia coli	GCF_005156265.1	ASM515626v1
Staphylococcus aureus	GCF_002000785.1	ASM200078v1
Staphylococcus aureus	GCF_000967345.1	ASM96734v1
Escherichia coli	GCF_008727155.1	ASM872715v1
Escherichia coli	GCF_038396695.1	ASM3839669v1
Staphylococcus aureus	GCF_030534055.1	ASM3053405v1
Pseudomonas aeruginosa	GCF_021513515.1	ASM2151351v1
Escherichia coli	GCF_008761455.2	ASM876145v2
Pseudomonas aeruginosa	GCF_003571505.1	ASM357150v1
Escherichia coli	GCF_040436685.1	ASM4043668v1
Pseudomonas aeruginosa	GCF_006704595.2	ASM670459v2
Escherichia coli	GCF_033802445.1	ASM3380244v1
Salmonella enterica	GCF_011465695.1	ASM1146569v1
Escherichia coli	GCF_031852355.1	ASM3185235v1
Escherichia coli	GCF_018988385.1	ASM1898838v1
Escherichia coli	GCF_000299475.1	ASM29947v1
Staphylococcus aureus	GCF_022369595.1	ASM2236959v1
Salmonella enterica	GCF_037870175.1	ASM3787017v1
Salmonella enterica	GCF_004124055.2	ASM412405v2
Salmonella enterica	GCF_038380085.1	ASM3838008v1
Salmonella enterica	GCF_031039055.1	ASM3103905v1
Escherichia coli	GCF_029674645.1	ASM2967464v1
Escherichia coli	GCF_015910185.1	ASM1591018v1
Escherichia coli	GCF_030439225.1	ASM3043922v1
Enterococcus faecalis	GCF_030020665.1	ASM3002066v1
Escherichia coli	GCF_016127695.1	ASM1612769v1
Escherichia coli	GCF_001900575.1	ASM190057v1
Escherichia coli	GCF_020616475.1	ASM2061647v1
Escherichia coli	GCF_034642855.1	ASM3464285v1
Escherichia coli	GCF_904831835.1	L4_E1441_ETEC
Bacillus subtilis	GCF_009662435.1	ASM966243v1
Escherichia coli	GCF_016904475.1	ASM1690447v1
Escherichia coli	GCF_025995735.1	ASM2599573v1
Escherichia coli	GCF_001900595.1	ASM190059v1
Escherichia coli	GCF_019843995.1	ASM1984399v1
Pseudomonas aeruginosa	GCF_036233455.1	ASM3623345v1
Escherichia coli	GCF_029991195.1	ASM2999119v1
Listeria monocytogenes	GCF_014304775.1	ASM1430477v1
Salmonella enterica	GCF_002266325.2	ASM226632v2
Staphylococcus aureus	GCF_022809795.1	ASM2280979v1
Pseudomonas aeruginosa	GCF_022569995.1	ASM2256999v1
Escherichia coli	GCF_024499155.1	ASM2449915v1
Enterococcus faecalis	GCF_030020155.1	ASM3002015v1
Escherichia coli	GCF_024331375.2	ASM2433137v2
Escherichia coli	GCF_020034595.1	ASM2003459v1
Escherichia coli	GCF_030717525.1	ASM3071752v1
Staphylococcus aureus	GCF_003855575.1	ASM385557v1
Salmonella enterica	GCF_004337735.2	ASM433773v2
Salmonella enterica	GCF_022559425.1	ASM2255942v1
Limosilactobacillus fermentum	GCF_000397165.1	ASM39716v1
Bacillus subtilis	GCF_030643765.1	ASM3064376v1
Staphylococcus aureus	GCF_002025125.1	ASM202512v1
Salmonella enterica	GCF_027942075.1	ASM2794207v1
Staphylococcus aureus	GCF_030409035.1	ASM3040903v1
Escherichia coli	GCF_014863625.1	ASM1486362v1
Escherichia coli	GCF_000784925.1	ASM78492v1
Escherichia coli	GCF_022558825.1	ASM2255882v1
Listeria monocytogenes	GCF_015583955.1	ASM1558395v1
Escherichia coli	GCF_015033265.1	ASM1503326v1
Escherichia coli	GCF_013167715.1	ASM1316771v1
Salmonella enterica	GCF_037876785.1	ASM3787678v1
Escherichia coli	GCF_033802425.1	ASM3380242v1
Escherichia coli	GCF_000212715.2	ASM21271v2
Pseudomonas aeruginosa	GCF_013001005.1	ASM1300100v1
Escherichia coli	GCF_001971765.1	ASM197176v1
Staphylococcus aureus	GCF_026625485.1	ASM2662548v1
Pseudomonas aeruginosa	GCF_035666215.1	ASM3566621v1
Escherichia coli	GCF_001644725.1	ASM164472v1
Pseudomonas aeruginosa	GCF_018141565.1	ASM1814156v1
Staphylococcus aureus	GCF_001018775.2	ASM101877v2
Salmonella enterica	GCF_011466775.1	ASM1146677v1
Pseudomonas aeruginosa	GCF_036233635.1	ASM3623363v1
Escherichia coli	GCF_002787545.1	ASM278754v1
Escherichia coli	GCF_025996735.1	ASM2599673v1
Escherichia coli	GCF_039583325.1	ASM3958332v1
Bacillus subtilis	GCF_009913555.1	ASM991355v1
Staphylococcus aureus	GCF_038429035.1	ASM3842903v1
Escherichia coli	GCF_030389835.1	ASM3038983v1
Salmonella enterica	GCF_028892845.1	ASM2889284v1
Staphylococcus aureus	GCF_020389425.1	ASM2038942v1
Staphylococcus aureus	GCF_007726495.1	ASM772649v1
Staphylococcus aureus	GCF_900324335.1	15_LA_305
Salmonella enterica	GCF_000272535.2	ASM27253v2
Bacillus subtilis	GCF_002173715.1	ASM217371v1
Escherichia coli	GCF_000801185.2	ASM80118v2
Staphylococcus aureus	GCF_001018975.2	ASM101897v2
Salmonella enterica	GCF_032700165.1	ASM3270016v1
Escherichia coli	GCF_003956185.1	ASM395618v1
Escherichia coli	GCF_022492995.1	ASM2249299v1
Staphylococcus aureus	GCF_019915405.1	ASM1991540v1
Pseudomonas aeruginosa	GCF_018138065.1	ASM1813806v1
Enterococcus faecalis	GCF_023375505.1	ASM2337550v1
Staphylococcus aureus	GCF_013305955.1	ASM1330595v1
Staphylococcus aureus	GCF_034479795.1	ASM3447979v1
Pseudomonas aeruginosa	GCF_036417805.1	ASM3641780v1
Escherichia coli	GCF_005671355.1	ASM567135v1
Bacillus subtilis	GCF_015654205.1	ASM1565420v1
Escherichia coli	GCF_018071945.1	ASM1807194v2
Escherichia coli	GCF_001900335.1	ASM190033v1
Escherichia coli	GCF_005037805.1	ASM503780v2
Pseudomonas aeruginosa	GCF_025398115.1	ASM2539811v1
Escherichia coli	GCF_002999075.1	ASM299907v1
Escherichia coli	GCF_964038705.1	30348_1_3
Escherichia coli	GCF_963924205.1	ST38_3_FIN
Escherichia coli	GCF_019710415.1	ASM1971041v1
Escherichia coli	GCF_022493495.1	ASM2249349v1
Listeria monocytogenes	GCF_004101665.1	ASM410166v1
Pseudomonas aeruginosa	GCF_038431905.1	ASM3843190v1
Escherichia coli	GCF_035928085.1	ASM3592808v1
Escherichia coli	GCF_009432215.1	ASM943221v1
Salmonella enterica	GCF_003864015.1	ASM386401v1
Listeria monocytogenes	GCF_003031975.1	ASM303197v1
Salmonella enterica	GCF_024722435.1	ASM2472243v1
Listeria monocytogenes	GCF_002213645.1	ASM221364v1
Escherichia coli	GCF_022494585.1	ASM2249458v1
Pseudomonas aeruginosa	GCF_003288335.1	ASM328833v1
Escherichia coli	GCF_003073835.1	ASM307383v1
Staphylococcus aureus	GCF_036670115.1	ASM3667011v1
Escherichia coli	GCF_003018135.1	ASM301813v1
Pseudomonas aeruginosa	GCF_022811045.1	ASM2281104v1
Escherichia coli	GCF_022453585.1	ASM2245358v1
Escherichia coli	GCF_018972245.1	ASM1897224v1
Pseudomonas aeruginosa	GCF_036232345.1	ASM3623234v1
Salmonella enterica	GCF_001692535.1	ASM169253v1
Escherichia coli	GCF_900520365.1	ASM90052036v1
Bacillus subtilis	GCF_004119715.1	ASM411971v1
Escherichia coli	GCF_017165415.1	ASM1716541v1
Escherichia coli	GCF_900622695.1	MS14384
Escherichia coli	GCF_018279125.1	ASM1827912v1
Staphylococcus aureus	GCF_003394105.1	ASM339410v1
Salmonella enterica	GCF_026873305.1	ASM2687330v1
Escherichia coli	GCF_036501305.1	ASM3650130v1
Staphylococcus aureus	GCF_008693765.1	ASM869376v1
Escherichia coli	GCF_037939535.1	ASM3793953v1
Bacillus subtilis	GCF_019704335.1	ASM1970433v1
Escherichia coli	GCF_024918895.1	ASM2491889v1
Pseudomonas aeruginosa	GCF_027594985.1	ASM2759498v1
Staphylococcus aureus	GCF_003193685.1	ASM319368v1
Salmonella enterica	GCF_003718255.1	ASM371825v1
Pseudomonas aeruginosa	GCF_024126355.1	ASM2412635v1
Escherichia coli	GCF_024329775.2	ASM2432977v2
Listeria monocytogenes	GCF_900275645.1	JF5203_1
Salmonella enterica	GCF_025808255.1	ASM2580825v1
Escherichia coli	GCF_013423805.1	ASM1342380v1
Salmonella enterica	GCF_023330805.1	ASM2333080v1
Escherichia coli	GCF_013343635.1	ASM1334363v1
Escherichia coli	GCF_030036655.1	ASM3003665v1
Escherichia coli	GCF_022117655.1	ASM2211765v1
Escherichia coli	GCF_017900975.1	ASM1790097v1
Staphylococcus aureus	GCF_018141385.1	ASM1814138v1
Escherichia coli	GCF_014904235.2	ASM1490423v2
Bacillus subtilis	GCF_009662275.1	ASM966227v1
Limosilactobacillus fermentum	GCF_000466785.3	ASM46678v3
Salmonella enterica	GCF_021474345.1	ASM2147434v1
Escherichia coli	GCF_019355455.1	ASM1935545v1
Escherichia coli	GCF_013122565.1	ASM1312256v1
Escherichia coli	GCF_017165455.1	ASM1716545v1
Staphylococcus aureus	GCF_024741615.1	ASM2474161v1
Salmonella enterica	GCF_028893075.1	ASM2889307v1
Pseudomonas aeruginosa	GCF_001516325.2	ASM151632v2
Escherichia coli	GCF_023238365.1	ASM2323836v1
Escherichia coli	GCF_905218875.2	AI2598v1_cp
Staphylococcus aureus	GCF_022163365.2	ASM2216336v2
Salmonella enterica	GCF_012050025.1	ASM1205002v1
Escherichia coli	GCF_002788115.1	ASM278811v1
Escherichia coli	GCF_014623225.1	ASM1462322v1
Salmonella enterica	GCF_028892935.1	ASM2889293v1
Pseudomonas aeruginosa	GCF_034438375.1	ASM3443837v1
Staphylococcus aureus	GCF_029094145.1	ASM2909414v1
Pseudomonas aeruginosa	GCF_016745175.1	ASM1674517v1
Escherichia coli	GCF_005222025.1	ASM522202v1
Bacillus subtilis	GCF_905319135.2	NRS6186B
Escherichia coli	GCF_036498665.1	ASM3649866v1
Salmonella enterica	GCF_000623715.2	ASM62371v2
Escherichia coli	GCF_029227855.1	ASM2922785v1
Escherichia coli	GCF_002012305.1	ASM201230v1
Staphylococcus aureus	GCF_034035835.1	ASM3403583v1
Staphylococcus aureus	GCF_024296845.1	ASM2429684v1
Escherichia coli	GCF_034119765.1	ASM3411976v1
Escherichia coli	GCF_024970535.1	ASM2497053v1
Staphylococcus aureus	GCF_000013465.1	ASM1346v1
Salmonella enterica	GCF_006165245.1	ASM616524v1
Staphylococcus aureus	GCF_024741695.1	ASM2474169v1
Escherichia coli	GCF_024584925.1	ASM2458492v1
Escherichia coli	GCF_036884625.1	ASM3688462v1
Pseudomonas aeruginosa	GCF_027570955.1	ASM2757095v1
Pseudomonas aeruginosa	GCF_900095805.1	PA14Or
Escherichia coli	GCF_019976835.1	ASM1997683v1
Escherichia coli	GCF_038396565.1	ASM3839656v1
Staphylococcus aureus	GCF_022405535.1	ASM2240553v1
Escherichia coli	GCF_010092405.1	ASM1009240v1
Salmonella enterica	GCF_002211585.1	ASM221158v1
Staphylococcus aureus	GCF_022693185.1	ASM2269318v1
Escherichia coli	GCF_001566635.1	ASM156663v1
Escherichia coli	GCF_003018215.1	ASM301821v1
Bacillus subtilis	GCF_024508175.1	ASM2450817v1
Staphylococcus aureus	GCF_022405855.1	ASM2240585v1
Staphylococcus aureus	GCF_030533645.1	ASM3053364v1
Pseudomonas aeruginosa	GCF_022569975.1	ASM2256997v1
Bacillus subtilis	GCF_000186745.1	ASM18674v1
Salmonella enterica	GCF_004919285.1	ASM491928v1
Staphylococcus aureus	GCF_003185005.1	ASM318500v1
Escherichia coli	GCF_001890365.1	ASM189036v1
Escherichia coli	GCF_026001205.1	ASM2600120v1
Pseudomonas aeruginosa	GCF_027570635.1	ASM2757063v1
Enterococcus faecalis	GCF_037238825.1	EfaR132
Escherichia coli	GCF_024298705.1	ASM2429870v1
Escherichia coli	GCF_036884385.1	ASM3688438v1
Staphylococcus aureus	GCF_037083885.2	BSN89_Closure
Escherichia coli	GCF_025232455.1	ASM2523245v1
Staphylococcus aureus	GCF_026625305.1	ASM2662530v1
Pseudomonas aeruginosa	GCF_022637915.1	ASM2263791v1
Bacillus subtilis	GCF_002072735.1	ASM207273v1
Pseudomonas aeruginosa	GCF_035197065.1	ASM3519706v1
Salmonella enterica	GCF_009756455.1	ASM975645v1
Escherichia coli	GCF_905219285.2	AI2715v1_cp
Enterococcus faecalis	GCF_032681005.1	ASM3268100v1
Staphylococcus aureus	GCF_900620245.1	BPH2947
Escherichia coli	GCF_024918155.1	ASM2491815v1
Salmonella enterica	GCF_004847145.1	ASM484714v1
Enterococcus faecalis	GCF_001689055.2	ASM168905v2
Escherichia coli	GCF_026074175.1	ASM2607417v1
Staphylococcus aureus	GCF_003330905.1	ASM333090v1
Enterococcus faecalis	GCF_024267595.1	ASM2426759v1
Salmonella enterica	GCF_003067925.2	ASM306792v2
Salmonella enterica	GCF_003710145.1	ASM371014v1
Salmonella enterica	GCF_030254705.1	ASM3025470v1
Salmonella enterica	GCF_003717455.1	ASM371745v1
Enterococcus faecalis	GCF_030020475.1	ASM3002047v1
Escherichia coli	GCF_029916845.1	ASM2991684v1
Escherichia coli	GCF_037558665.1	ASM3755866v1
Staphylococcus aureus	GCF_000463055.1	ASM46305v1
Salmonella enterica	GCF_000941015.2	ASM94101v2
Pseudomonas aeruginosa	GCF_019857565.1	ASM1985756v1
Salmonella enterica	GCF_039776065.1	ASM3977606v1
Pseudomonas aeruginosa	GCF_902703195.1	PcyII-40
Pseudomonas aeruginosa	GCF_002208645.1	ASM220864v1
Salmonella enterica	GCF_029592185.1	ASM2959218v1
Escherichia coli	GCF_031664795.1	ASM3166479v1
Escherichia coli	GCF_019890835.1	ASM1989083v1
Escherichia coli	GCF_004010635.1	ASM401063v1
Escherichia coli	GCF_001901045.1	ASM190104v1
Escherichia coli	GCF_017570625.1	ASM1757062v1
Salmonella enterica	GCF_001692615.1	ASM169261v1
Pseudomonas aeruginosa	GCF_022453825.1	ASM2245382v1
Escherichia coli	GCF_025399035.1	ASM2539903v1
Salmonella enterica	GCF_040048365.1	ASM4004836v1
Salmonella enterica	GCF_031182935.1	ASM3118293v1
Salmonella enterica	GCF_023330825.1	ASM2333082v1
Escherichia coli	GCF_030708015.1	ASM3070801v1
Pseudomonas aeruginosa	GCF_030183855.2	NA
Escherichia coli	GCF_016806005.1	ASM1680600v1
Pseudomonas aeruginosa	GCF_037287405.1	ASM3728740v1
Salmonella enterica	GCF_004848405.1	ASM484840v1
Pseudomonas aeruginosa	GCF_031326305.1	ASM3132630v1
Escherichia coli	GCF_014338525.1	ASM1433852v1
Escherichia coli	GCF_001021005.2	ASM102100v2
