Species	RefSeq ID	Name
Staphylococcus aureus	GCF_001019275.2	ASM101927v2
Escherichia coli	GCF_013282335.1	ASM1328233v1
Listeria monocytogenes	GCF_000168575.2	ASM16857v2
Salmonella enterica	GCF_001620225.1	ASM162022v1
Listeria monocytogenes	GCF_040235205.1	ASM4023520v1
Salmonella enterica	GCF_031036675.1	ASM3103667v1
Salmonella enterica	GCF_008124445.1	ASM812444v1
Salmonella enterica	GCF_018311215.1	ASM1831121v2
Bacillus subtilis	GCF_025426155.1	ASM2542615v1
Pseudomonas aeruginosa	GCF_003193645.1	ASM319364v1
Salmonella enterica	GCF_037776265.1	ASM3777626v1
Salmonella enterica	GCF_004847625.1	ASM484762v1
Escherichia coli	GCF_019969505.1	ASM1996950v1
Escherichia coli	GCF_029855145.1	ASM2985514v1
Escherichia coli	GCF_024467035.1	ASM2446703v1
Escherichia coli	GCF_036884535.1	ASM3688453v1
Escherichia coli	GCF_013167735.1	ASM1316773v1
Escherichia coli	GCF_027944955.1	ASM2794495v1
Staphylococcus aureus	GCF_030644105.1	ASM3064410v1
Escherichia coli	GCF_025853875.1	ASM2585387v1
Escherichia coli	GCF_013167755.1	ASM1316775v1
Escherichia coli	GCF_029625195.1	ASM2962519v1
Escherichia coli	GCF_026506415.1	ASM2650641v1
Escherichia coli	GCF_024331345.2	ASM2433134v2
Escherichia coli	GCF_002164975.2	ASM216497v2
Escherichia coli	GCF_002055605.1	ASM205560v1
Escherichia coli	GCF_023518355.1	ASM2351835v1
Escherichia coli	GCF_027945195.1	ASM2794519v1
Pseudomonas aeruginosa	GCF_019710495.1	ASM1971049v1
Escherichia coli	GCF_016904115.1	ASM1690411v1
Salmonella enterica	GCF_031183715.1	ASM3118371v1
Staphylococcus aureus	GCF_002089075.2	ASM208907v2
Listeria monocytogenes	GCF_000800335.1	ASM80033v1
Escherichia coli	GCF_902810325.1	SC423
Listeria monocytogenes	GCF_000438585.1	ASM43858v1
Salmonella enterica	GCF_003717935.1	ASM371793v1
Escherichia coli	GCF_036884775.1	ASM3688477v1
Staphylococcus aureus	GCF_030544845.1	ASM3054484v1
Pseudomonas aeruginosa	GCF_036232665.1	ASM3623266v1
Escherichia coli	GCF_024585425.1	ASM2458542v1
Escherichia coli	GCF_030996445.1	ASM3099644v1
Staphylococcus aureus	GCF_022693305.1	ASM2269330v1
Escherichia coli	GCF_030012665.1	ASM3001266v1
Staphylococcus aureus	GCF_036492515.1	ASM3649251v1
Escherichia coli	GCF_036884785.1	ASM3688478v1
Salmonella enterica	GCF_003999215.1	ASM399921v1
Escherichia coli	GCF_019971035.1	ASM1997103v1
Staphylococcus aureus	GCF_022405075.1	ASM2240507v1
